event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim
harvey-2017,Hurricane Harvey,Hurricane,2017,48291700400,45.999,1898875.78,394534.17,0.0,2293409.95,49857.74
harvey-2017,Hurricane Harvey,Hurricane,2017,48291700500,24.0,354283.73,111164.36,0.0,465448.09,19393.67
harvey-2017,Hurricane Harvey,Hurricane,2017,48291700600,32.0,875927.7,197461.62,0.0,1073389.32,33543.42
harvey-2017,Hurricane Harvey,Hurricane,2017,48291700700,17.0,754980.05,158239.08,0.0,913219.13,53718.77
harvey-2017,Hurricane Harvey,Hurricane,2017,48291700800,46.002,2066120.18,749180.43,0.0,2815300.61,61199.14
harvey-2017,Hurricane Harvey,Hurricane,2017,48291700900,33.0,2044382.95,960433.85,0.0,3004816.8,91055.05
harvey-2017,Hurricane Harvey,Hurricane,2017,48291701000,85.0,4821491.44,1937147.52,0.0,6758638.96,79513.4
harvey-2017,Hurricane Harvey,Hurricane,2017,48291701100,36.0,1281253.16,421041.45,0.0,1702294.61,47285.96
harvey-2017,Hurricane Harvey,Hurricane,2017,48291701200,68.0,3350811.02,1082601.92,0.0,4433412.94,65197.25
harvey-2017,Hurricane Harvey,Hurricane,2017,48291701300,34.0,1784909.64,631388.64,0.0,2416298.28,71067.6
harvey-2017,Hurricane Harvey,Hurricane,2017,48291701400,60.0,2681442.46,803965.99,0.0,3485408.45,58090.14
harvey-2017,Hurricane Harvey,Hurricane,2017,48313000100,1.0,28800.0,4500.0,0.0,33300.0,33300.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730100,46.0,824567.54,260921.42,0.0,1085488.96,23597.59
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730201,54.0,1890463.03,778283.2,30000.0,2698746.23,49976.78
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730202,21.0,995456.45,261465.79,7287.13,1264209.37,60200.45
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730301,10.976,245615.1,135770.57,0.0,381385.67,34747.45
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730302,14.002,356109.19,57321.9,0.0,413431.09,29525.83
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730303,8.022,427192.57,92621.34,0.0,519813.91,64800.86
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730400,7.0,38722.11,4591.24,0.0,43313.35,6187.62
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730501,96.0,1401158.43,394272.19,30000.0,1825430.62,19014.9
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730600,28.0,425543.68,64555.89,0.0,490099.57,17503.56
harvey-2017,Hurricane Harvey,Hurricane,2017,48321730700,10.0,77117.64,411.82,0.0,77529.46,7752.95
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690100,72.0,4638076.11,1402092.27,0.0,6040168.38,83891.23
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690201,39.009,1526814.52,352119.16,30000.0,1908933.67,48936.17
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690202,52.002,4366106.18,1412628.98,0.0,5778735.16,111125.65
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690300,8.99,545353.64,141881.07,0.0,687234.71,76448.26
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690401,6.0,187168.74,87821.79,0.0,274990.53,45831.76
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690402,131.0,9378433.55,3119351.11,0.0,12497784.66,95402.94
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690500,8.998,537864.28,130725.21,0.0,668589.49,74306.76
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690601,3.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690602,53.0,3511599.21,982434.65,30000.0,4524033.86,85359.13
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690700,9.0,195018.92,110508.29,0.0,305527.21,33947.47
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690800,8.0,143536.42,31638.29,0.0,175174.71,21896.84
harvey-2017,Hurricane Harvey,Hurricane,2017,48339690900,7.0,346926.49,75642.94,0.0,422569.43,60367.06
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691000,3.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691100,2.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691200,8.0,187048.77,0.0,0.0,187048.77,23381.1
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691301,21.0,1508193.66,419022.96,0.0,1927216.62,91772.22
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691302,33.0,2417881.37,598589.65,0.0,3016471.02,91408.21
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691400,305.0,30907821.91,7831156.72,150000.0,38888978.63,127504.85
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691500,3.0,33699.98,12426.53,0.0,46126.51,15375.5
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691601,3.0,203117.79,0.0,0.0,203117.79,67705.93
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691602,5.0,39357.59,1636.22,0.0,40993.81,8198.76
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691700,3.0,0.0,5000.0,0.0,5000.0,1666.67
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691800,7.399,519928.85,507309.2,0.0,1027238.05,138842.65
harvey-2017,Hurricane Harvey,Hurricane,2017,48339691900,87.995,12769497.12,2372998.52,0.0,15142495.64,172083.64
