event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim,population_2022,claims_per_1000_residents,claim_payments_per_capita
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21175950500,1,12321.88,0.00,0.00,12321.88,12321.88,2075,0.481928,5.94
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193970300,8,941234.79,305899.46,0.00,1247134.25,155891.78,3139,2.548582,397.30
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193970400,10,467496.57,1105.86,18700.00,487302.43,48730.24,4402,2.271695,110.70
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193970501,3,0.00,0.00,0.00,0.00,0.00,2998,1.000667,0.00
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193970502,3,56968.03,4600.00,0.00,61568.03,20522.68,2853,1.051525,21.58
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193970601,5,39169.79,0.00,0.00,39169.79,7833.96,2373,2.107038,16.51
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193970602,4,96276.92,8106.62,0.00,104383.54,26095.88,2116,1.890359,49.33
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193970700,6,180450.76,33810.45,0.00,214261.21,35710.20,2278,2.633889,94.06
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193970800,1,2947.84,0.00,0.00,2947.84,2947.84,2480,0.403226,1.19
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21193971000,8,782608.21,200000.00,0.00,982608.21,122826.03,4264,1.876173,230.44
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21195930202,1,11610.96,181.20,0.00,11792.16,11792.16,3133,0.319183,3.76
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21195930500,2,21122.90,0.00,0.00,21122.90,10561.45,3058,0.654022,6.91
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21195930600,6,42993.28,5100.00,0.00,48093.28,8015.55,3579,1.676446,13.44
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21195930700,10,203327.40,50478.19,14000.00,267805.59,26780.56,1943,5.146680,137.83
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21195930800,26,924179.79,78108.84,0.00,1002288.63,38549.56,2446,10.629599,409.77
eastern_kentucky_flooding_2022,2022 Eastern Kentucky Flooding,Flood,2022,21195930900,8,357377.26,80503.42,0.00,437880.68,54735.08,1680,4.761905,260.64
